modele,accuracy,f1_weighted
TF-IDF + SVM,0.76,0.7555664146536357
BoW + Naive Bayes,0.64,0.6360218889127134
TF-IDF + Régression logistique,0.6133333333333333,0.5674391345089019
CamemBERT,0.49333333333333335,0.4027476918836985
Word2Vec + Régression logistique,0.4666666666666667,0.38081300813008134
